Linux 3.8.0-19-generic (ip-10-58-125-169) 	06/06/2013 	_x86_64_	(1 CPU)

08:44:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
08:46:53 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:55 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:56 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:57 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:46:58 PM  all   93.33    0.00    6.67    0.00    0.00    0.00    0.00    0.00    0.00
08:46:59 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:00 PM  all   92.86    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00
08:47:01 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:02 PM  all    0.80    0.00    0.06    0.00    0.00    0.00   99.15    0.00    0.00
08:47:03 PM  all   13.82    0.00    0.00    0.00    0.00    0.00   86.18    0.00    0.00
08:47:04 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:05 PM  all    5.32    0.00    0.00    0.00    0.00    0.00   94.68    0.00    0.00
08:47:06 PM  all   11.57    0.00    0.00    0.00    0.00    0.00   88.43    0.00    0.00
08:47:07 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:08 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:09 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:10 PM  all    4.53    0.00    0.00    0.00    0.00    0.00   95.47    0.00    0.00
08:47:12 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:13 PM  all    8.75    0.00    0.00    0.00    0.00    0.00   91.25    0.00    0.00
08:47:14 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:15 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:16 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:17 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:18 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:47:19 PM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
