Linux 3.8.0-19-generic (ip-10-34-167-107) 	06/07/2013 	_x86_64_	(1 CPU)

07:48:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
07:51:51 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:52 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:53 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:54 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:55 AM  all   98.31    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00
07:51:56 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:57 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:51:58 AM  all    8.31    0.00    0.00    0.00    0.00    0.00   91.69    0.00    0.00
07:51:59 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:00 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:01 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:02 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:03 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:04 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:05 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:06 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:07 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:08 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:09 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:10 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:11 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:12 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:13 AM  all    7.01    0.00    0.00    0.00    0.00    0.00   92.99    0.00    0.00
07:52:14 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:15 AM  all   98.31    0.00    1.69    0.00    0.00    0.00    0.00    0.00    0.00
07:52:16 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:17 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:18 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:19 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:20 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:21 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:22 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:23 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:24 AM  all  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
07:52:25 AM  all    8.33    0.00    0.00    0.00    0.00    0.00   91.67    0.00    0.00
07:52:26 AM  all   98.28    0.00    1.72    0.00    0.00    0.00    0.00    0.00    0.00
